Id,Label,timeset,0,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,pageranks,indegree,outdegree,Degree
AsasN_NovaOP,AsasN_NovaOP,,11,6,0,0,0,0,0,0.000725,1,0,1
HarishSaiju,HarishSaiju,,34,6,0,0,0,0,0,0.000725,1,0,1
kusum_m08,kusum_m08,,0,6,0,0,0,0,0,0.000725,1,0,1
arjun___ramesh,arjun___ramesh,,10,6,0,0,0,0,0,0.000725,1,0,1
yourkindarachel,yourkindarachel,,59,6,0,0,0,0,0,0.000725,1,0,1
saakshlol,saakshlol,,92,6,0,0,0,0,0,0.000725,1,0,1
ENCRYPTmusic,ENCRYPTmusic,,1,6,0,0,0,0,0,0.000725,1,0,1
seedhepahaadse,seedhepahaadse,,9,6,0,0,0,0,0,0.000725,1,0,1
AroushJr,AroushJr,,42,6,0,0,0,0,0,0.000725,1,0,1
Shlok09247696,Shlok09247696,,13,6,0,0,0,0,0,0.000725,1,0,1
muskanwowanand,muskanwowanand,,108,6,0,0,0,0,0,0.000725,1,0,1
orangeinfinnity,orangeinfinnity,,12,6,0,0,0,0,0,0.000725,1,0,1
raiman1204,raiman1204,,19,6,0,0,0,0,0,0.000725,1,0,1
thoughtiiana,thoughtiiana,,238,6,0,0,0,0,0,0.000725,1,0,1
VijaySundaram18,VijaySundaram18,,1,6,0,0,0,0,0,0.000725,1,0,1
rickienoah1,rickienoah1,,10,6,0,0,0,0,0,0.000725,1,0,1
strange_lt,strange_lt,,4,6,0,0,0,0,0,0.000725,1,0,1
sircaronline,sircaronline,,19,6,0,0,0,0,0,0.000725,1,0,1
bhat_ankith,bhat_ankith,,87,6,0,0,0,0,0,0.000725,1,0,1
Malek_Hehehe,Malek_Hehehe,,1,6,0,0,0,0,0,0.000725,1,0,1
Abhay21866759,Abhay21866759,,8,6,0,0,0,0,0,0.000725,1,0,1
Vivek__Vaibhav,Vivek__Vaibhav,,27,6,0,0,0,0,0,0.000725,1,0,1
AmlanMohapatr17,AmlanMohapatr17,,21,6,0,0,0,0,0,0.000725,1,0,1
Akshat__Dubey,Akshat__Dubey,,4,6,0,0,0,0,0,0.000725,1,0,1
akshaygarg1,akshaygarg1,,12,6,0,0,0,0,0,0.000725,1,0,1
AkshatNegi19,AkshatNegi19,,6,6,0,0,0,0,0,0.000725,1,0,1
KaisthaVanshaj,KaisthaVanshaj,,26,6,0,0,0,0,0,0.000725,1,0,1
saket_ravikumar,saket_ravikumar,,38,6,0,0,0,0,0,0.000725,1,0,1
therealruudy,therealruudy,,58,6,0,0,0,0,0,0.000725,1,0,1
dechammaa,dechammaa,,1889,6,0,0,0,0,0,0.000725,1,0,1
Vidushi237,Vidushi237,,10,6,0,0,0,0,0,0.000725,1,0,1
JunejaRythem,JunejaRythem,,20,6,0,0,0,0,0,0.000725,1,0,1
rafik90404562,rafik90404562,,0,6,0,0,0,0,0,0.000725,1,0,1
meghashaiva,meghashaiva,,3,6,0,0,0,0,0,0.000725,1,0,1
GudduShariff,GudduShariff,,6,6,0,0,0,0,0,0.000725,1,0,1
akshat25045,akshat25045,,11,6,0,0,0,0,0,0.000725,1,0,1
AkshayJ86225824,AkshayJ86225824,,5,6,0,0,0,0,0,0.000725,1,0,1
SamraAzeez,SamraAzeez,,52,6,0,0,0,0,0,0.000725,1,0,1
Aaditya_MUFC,Aaditya_MUFC,,63,6,0,0,0,0,0,0.000725,1,0,1
Aditya_16V,Aditya_16V,,363,6,0,0,0,0,0,0.000725,1,0,1
Gowrish35342375,Gowrish35342375,,23,6,0,0,0,0,0,0.000725,1,0,1
Suryazapss,Suryazapss,,16,6,0,0,0,0,0,0.000725,1,0,1
ArunGan21077773,ArunGan21077773,,22,6,0,0,0,0,0,0.000725,1,0,1
TheofficialLin,TheofficialLin,,35,6,0,0,0,0,0,0.000725,1,0,1
anjaliiraii,anjaliiraii,,45,6,0,0,0,0,0,0.000725,1,0,1
PrathikPatil3,PrathikPatil3,,3,6,0,0,0,0,0,0.000725,1,0,1
Vyastache,Vyastache,,91,6,0,0,0,0,0,0.000725,1,0,1
arch5lyff,arch5lyff,,36,6,0,0,0,0,0,0.000725,1,0,1
shruthi_sajjan,shruthi_sajjan,,2,6,0,0,0,0,0,0.000725,1,0,1
siddhantinho,siddhantinho,,88,6,0,0,0,0,0,0.000725,1,0,1
PbhatForever,PbhatForever,,25,6,0,0,0,0,0,0.000725,1,0,1
